,is_shop,precision,recall,f1-score,support,classifier,encoding
0,0,0.9381898454746137,0.9883720930232558,0.9626274065685163,430.0,LogisticRegression,TFIDF
1,1,0.9877149877149877,0.9348837209302325,0.9605734767025089,430.0,LogisticRegression,TFIDF
2,accuracy,0.9616279069767442,0.9616279069767442,0.9616279069767442,0.9616279069767442,LogisticRegression,TFIDF
3,macro avg,0.9629524165948007,0.9616279069767442,0.9616004416355126,860.0,LogisticRegression,TFIDF
4,weighted avg,0.9629524165948008,0.9616279069767442,0.9616004416355125,860.0,LogisticRegression,TFIDF
0,0,0.9482352941176471,0.9372093023255814,0.9426900584795322,430.0,DecisionTreeClassifier,TFIDF
1,1,0.9379310344827586,0.9488372093023256,0.9433526011560694,430.0,DecisionTreeClassifier,TFIDF
2,accuracy,0.9430232558139535,0.9430232558139535,0.9430232558139535,0.9430232558139535,DecisionTreeClassifier,TFIDF
3,macro avg,0.9430831643002029,0.9430232558139535,0.9430213298178008,860.0,DecisionTreeClassifier,TFIDF
4,weighted avg,0.9430831643002029,0.9430232558139535,0.9430213298178008,860.0,DecisionTreeClassifier,TFIDF
0,0,0.9615384615384616,0.9883720930232558,0.9747706422018347,430.0,RandomForestClassifier,TFIDF
1,1,0.9880382775119617,0.9604651162790697,0.9740566037735849,430.0,RandomForestClassifier,TFIDF
2,accuracy,0.9744186046511628,0.9744186046511628,0.9744186046511628,0.9744186046511628,RandomForestClassifier,TFIDF
3,macro avg,0.9747883695252116,0.9744186046511627,0.9744136229877098,860.0,RandomForestClassifier,TFIDF
4,weighted avg,0.9747883695252116,0.9744186046511628,0.9744136229877098,860.0,RandomForestClassifier,TFIDF
0,0,0.9850374064837906,0.9186046511627907,0.9506618531889289,430.0,KNeighborsClassifier,TFIDF
1,1,0.9237472766884531,0.986046511627907,0.9538807649043869,430.0,KNeighborsClassifier,TFIDF
2,accuracy,0.9523255813953488,0.9523255813953488,0.9523255813953488,0.9523255813953488,KNeighborsClassifier,TFIDF
3,macro avg,0.9543923415861219,0.9523255813953488,0.9522713090466579,860.0,KNeighborsClassifier,TFIDF
4,weighted avg,0.9543923415861219,0.9523255813953488,0.952271309046658,860.0,KNeighborsClassifier,TFIDF
0,0,0.9591836734693877,0.9837209302325581,0.9712973593570609,430.0,AdaBoostClassifier,TFIDF
1,1,0.9832935560859188,0.958139534883721,0.9705535924617196,430.0,AdaBoostClassifier,TFIDF
2,accuracy,0.9709302325581395,0.9709302325581395,0.9709302325581395,0.9709302325581395,AdaBoostClassifier,TFIDF
3,macro avg,0.9712386147776533,0.9709302325581395,0.9709254759093902,860.0,AdaBoostClassifier,TFIDF
4,weighted avg,0.9712386147776532,0.9709302325581395,0.9709254759093902,860.0,AdaBoostClassifier,TFIDF
0,0,0.9340659340659341,0.9883720930232558,0.96045197740113,430.0,SVC,TFIDF
1,1,0.9876543209876543,0.9302325581395349,0.9580838323353293,430.0,SVC,TFIDF
2,accuracy,0.9593023255813954,0.9593023255813954,0.9593023255813954,0.9593023255813954,SVC,TFIDF
3,macro avg,0.9608601275267942,0.9593023255813953,0.9592679048682297,860.0,SVC,TFIDF
4,weighted avg,0.9608601275267942,0.9593023255813954,0.9592679048682297,860.0,SVC,TFIDF
0,0,0.9447236180904522,0.8744186046511628,0.9082125603864734,430.0,GaussianNB,TFIDF
1,1,0.8831168831168831,0.9488372093023256,0.9147982062780268,430.0,GaussianNB,TFIDF
2,accuracy,0.9116279069767442,0.9116279069767442,0.9116279069767442,0.9116279069767442,GaussianNB,TFIDF
3,macro avg,0.9139202506036677,0.9116279069767442,0.9115053833322501,860.0,GaussianNB,TFIDF
4,weighted avg,0.9139202506036675,0.9116279069767442,0.9115053833322501,860.0,GaussianNB,TFIDF
