,domain,is_shop_predicted,preview_text,is_shop,ambiguous
0,77records.de,1," DJ Equipment | DJ Zubehör ★ 77records.de Um 77records.de / Dein Shop für DJ-, Studio- und Licht-Equipment in vollem Umfang nutzen zu können, empfehlen wir Ihnen Javascript in Ihrem Browser zu aktiveren. Versandkostenfrei ab 25.- in DE / Tiefpreisgar",1,0
1,absperrtechnik24.de,1," Absperrpfosten, Schilder, Fahrradständer und mehr | absperrtechnik24.de Sehr gut4.79/5.00Zertifiziert seit 10.03.2005×Zertifizierter Shop Vermeiden Sie Glatteisunfälle! Und kommen Sie gut durch den Winter: Streuwagen und -behälter Warnschilder und -",1,0
2,ackermedia.de,0, Hosting - Avernis Domain bestellen / Domains umziehen / reservieren . de Alle at co.at or.at be biz cc ch cn co com de es eu fr in info it la li lu me mobi name net nu org re ru se sg tc tv tv co.uk me.uk org.uk vg wien ws xxx Viele Domains? Massene,0,0
3,acris-ecommerce.at,0, E-Commerce & Shopware Agentur aus Linz OÖ ► ACRIS E-Commerce .wpb_animate_when_almost_visible { opacity: 1; } Unternehmen Jobs Partner Referenzen Kontakt Main Navigation Menu E-Commerce E-Commerce Consulting E-Business Multichannel Cross-Channel Str,0,0
4,adepto-shop.de,1," ADEPTO - Reinigungsfachhandel - Versandkosten pauschal mit 4,00 € pro Bestellung. 30 Tage Widerrufsrecht Versand innerhalb von 3 - 7 Tagen Service & Beratung Tel. 08142 6670961 (Ortstarif) Startseite Mein Konto News Kontakt Anmelden Passwort vergess",1,0
5,airplus.com,0," AirPlus International – Ihr Partner für Reisekostenmanagement Für eine bestmögliche Nutzung verwendet unsere Website Cookies. Wenn Sie fortfahren, gehen wir davon aus, dass Sie der Verwendung von Cookies durch unsere Website zustimmen. Weitere Infor",0,0
6,alfahosting.org,0," Die Domain ""zitrom.alfahosting.org"" ist nicht verfügbar. ",0,0
7,alkomat.net,1," Startseite - Alkomat.net - Alkoholtester und Alkomaten von ACE, Dräger und Envitec sowie Drogentester Onlineshop de en Kategorien EmpfehlungenAlkoholtester Vergleich Service / WartungACE Webshops KategorienAlkotester Genauigkeit Alkotester Marke Alk",1,0
8,allgaeu-travel.com,0,"489 Ferienwohnungen & Ferienhäuser im AllgäuBitte aktivieren Sie JavaScript in Ihrem Browser, damit unsere Seite bei Ihnen in vollem Umfang mit allen Funktionen dargestellt werden kann.Laden Sie die Seite nach der Aktivierung bitte neu.XWir verwenden",0,0
9,allstars-direktvertrieb.de,1," Allstars-Vertrieb Um Allstars-Vertrieb in vollem Umfang nutzen zu können, empfehlen wir Ihnen Javascript in Ihrem Browser zu aktiveren. ALL STARS -20 % RABATT PORTOFREI AB 50€ KAUF AUF RECHNUNG EXPERTEN & BESTELL-HOTLINE: + 49 641 460 555 66 ANMELDU",0,1
